Page,Section,Path,Pass,Priority,Owner,Status,Review Questions,Notes
Thinking: AI Made Us Smaller and Weirder,Thinking,thinking/ai-made-us-smaller-and-weirder.html,2 - Page Review,Medium,Both,Not Started,"Same as above.",
Thinking: The Accidental Brand,Thinking,thinking/the-accidental-brand.html,2 - Page Review,Medium,Both,Not Started,"Same as above.",
Thinking: Doing Serious Things Unseriously,Thinking,thinking/doing-serious-things-unseriously.html,2 - Page Review,Medium,Both,Not Started,"Same as above.",
Thinking: What Making Comics Taught Us,Thinking,thinking/what-making-comics-taught-us.html,2 - Page Review,Medium,Both,Not Started,"Same as above.",
Thinking: From Zero to 150 Daily Sales,Thinking,thinking/from-zero-to-150-daily-sales.html,2 - Page Review,Medium,Kahran,Not Started,"Same as above.",
Thinking: Why People Gossip,Thinking,thinking/why-people-gossip.html,2 - Page Review,Medium,Both,Not Started,"Same as above.",
Thinking: Pain Is a Signal,Thinking,thinking/pain-is-a-signal.html,2 - Page Review,Medium,Both,Not Started,"Same as above.",
Thinking: Designing for the Decision They Almost Made,Thinking,thinking/designing-for-the-decision-they-almost-made.html,2 - Page Review,Medium,Kahran,Not Started,"Same as above.",
Thinking: The Game Designer's Toolkit,Thinking,thinking/the-game-designers-toolkit.html,2 - Page Review,Medium,Both,Not Started,"Same as above.",
Comics: Index,Comics,comics/index.html,2 - Page Review,Medium,Divya,Not Started,"Does the comics section feel intentional or like an afterthought? How does it connect to the rest of the site?",
Comics: The Friend Comic,Comics,comics/the-friend-comic.html,2 - Page Review,Medium,Divya,Not Started,"Does the presentation do the art justice? Reading experience on mobile?",
Comics: Gossip,Comics,comics/gossip.html,2 - Page Review,Medium,Divya,Not Started,"Same as above. Are the Plant/Phone/Zine assets still needed?",
Podcast Template,Podcast,podcast/,2 - Page Review,Medium,Both,Not Started,"Review the shared template across all episodes. Does the layout work? Is the player prominent? Is the transcript readable?",
Podcast: Spot-check 3-5 episodes,Podcast,podcast/,3 - Polish,Low,Kahran,Not Started,"Pick a few episodes at random and check for broken players or layout issues. Not a content review.",
Nav + Footer (all pages),Cross-cutting,all pages,3 - Polish,High,Kahran,Not Started,"Is navigation consistent? Do footer links make sense? Is the journey between sections smooth?",
Mobile pass,Cross-cutting,all pages,3 - Polish,High,Both,Not Started,"Go through every core + hub page on a phone. What breaks? What feels wrong?",
CTA audit,Cross-cutting,all pages,3 - Polish,Medium,Kahran,Not Started,"Does every page have a clear next step? Are we losing people at dead ends?",
Cross-links and internal connections,Cross-cutting,all pages,3 - Polish,Medium,Kahran,Not Started,"Are hubs linking to relevant work/thinking/podcast? Are case studies linking back to services?",
